phase_ps,corrupted,received,sent
0,18,50,32
250,17,49,32
500,17,49,32
750,17,49,32
1000,17,49,32
1250,18,50,32
1500,18,50,32
1750,18,50,32
2000,18,50,32
2250,17,49,32
2500,17,49,32
2750,17,49,32
3000,17,49,32
3250,18,50,32
3500,18,50,32
3750,18,50,32
4000,18,50,32
4250,17,49,32
4500,17,49,32
4750,17,49,32
5000,17,49,32
5250,17,49,32
5500,17,49,32
5750,17,49,32
6000,17,49,32
6250,17,49,32
6500,17,49,32
6750,17,49,32
7000,17,49,32
7250,17,49,32
7500,17,49,32
7750,17,49,32
8000,17,49,32
8250,17,49,32
8500,17,49,32
8750,17,49,32
9000,17,49,32
9250,18,50,32
9500,18,50,32
9750,18,50,32
10000,18,50,32
10250,17,49,32
10500,17,49,32
10750,17,49,32
11000,17,49,32
11250,18,50,32
11500,18,50,32
11750,18,50,32
12000,18,50,32
12250,17,49,32
12500,17,49,32
12750,17,49,32
13000,17,49,32
13250,18,50,32
13500,18,50,32
13750,18,50,32
14000,18,50,32
14250,17,49,32
14500,17,49,32
14750,17,49,32
15000,17,49,32
15250,17,49,32
15500,17,49,32
15750,17,49,32
16000,17,49,32
16250,17,49,32
16500,17,49,32
16750,17,49,32
17000,17,49,32
17250,17,49,32
17500,17,49,32
17750,17,49,32
18000,17,49,32
18250,17,49,32
18500,17,49,32
18750,17,49,32
19000,17,49,32
19250,18,50,32
19500,18,50,32
19750,18,50,32
20000,18,50,32
20250,17,49,32
20500,17,49,32
20750,17,49,32
21000,17,49,32
21250,18,50,32
21500,18,50,32
21750,18,50,32
22000,18,50,32
22250,17,49,32
22500,17,49,32
22750,17,49,32
23000,17,49,32
23250,18,50,32
23500,18,50,32
23750,18,50,32
24000,18,50,32
24250,17,49,32
24500,17,49,32
24750,17,49,32
25000,17,49,32
25250,17,49,32
25500,17,49,32
25750,17,49,32
26000,17,49,32
26250,17,49,32
26500,17,49,32
26750,17,49,32
27000,17,49,32
27250,17,49,32
27500,17,49,32
27750,17,49,32
28000,17,49,32
28250,17,49,32
28500,17,49,32
28750,17,49,32
29000,17,49,32
29250,18,50,32
29500,18,50,32
29750,18,50,32
30000,18,50,32
30250,17,49,32
30500,17,49,32
30750,17,49,32
31000,17,49,32
31250,18,50,32
31500,18,50,32
31750,18,50,32
32000,18,50,32
32250,17,49,32
32500,17,49,32
32750,17,49,32
33000,17,49,32
33250,18,50,32
33500,18,50,32
33750,18,50,32
34000,18,50,32
34250,17,49,32
34500,17,49,32
34750,17,49,32
35000,17,49,32
35250,17,49,32
35500,17,49,32
35750,17,49,32
36000,17,49,32
36250,17,49,32
36500,17,49,32
36750,17,49,32
37000,17,49,32
37250,17,49,32
37500,17,49,32
37750,17,49,32
38000,17,49,32
38250,17,49,32
38500,17,49,32
38750,17,49,32
39000,17,49,32
39250,18,50,32
39500,18,50,32
39750,18,50,32
40000,18,50,32
40250,17,49,32
40500,17,49,32
40750,17,49,32
41000,17,49,32
41250,18,50,32
41500,18,50,32
41750,18,50,32
42000,18,50,32
42250,17,49,32
42500,17,49,32
42750,17,49,32
43000,17,49,32
43250,18,50,32
43500,18,50,32
43750,18,50,32
44000,18,50,32
44250,17,49,32
44500,17,49,32
44750,17,49,32
45000,17,49,32
45250,17,49,32
45500,17,49,32
45750,17,49,32
46000,17,49,32
46250,17,49,32
46500,17,49,32
46750,17,49,32
47000,17,49,32
47250,17,49,32
47500,17,49,32
47750,17,49,32
48000,17,49,32
48250,17,49,32
48500,17,49,32
48750,17,49,32
49000,17,49,32
49250,18,50,32
49500,18,50,32
49750,18,50,32
50000,18,50,32
50250,17,49,32
50500,17,49,32
50750,17,49,32
51000,17,49,32
51250,18,50,32
51500,18,50,32
51750,18,50,32
52000,18,50,32
52250,17,49,32
52500,17,49,32
52750,17,49,32
53000,17,49,32
53250,18,50,32
53500,18,50,32
53750,18,50,32
54000,18,50,32
54250,17,49,32
54500,17,49,32
54750,17,49,32
55000,17,49,32
55250,17,49,32
55500,17,49,32
55750,17,49,32
56000,17,49,32
56250,17,49,32
56500,17,49,32
56750,17,49,32
57000,17,49,32
57250,17,49,32
57500,17,49,32
57750,17,49,32
58000,17,49,32
58250,17,49,32
58500,17,49,32
58750,17,49,32
59000,17,49,32
59250,18,50,32
59500,18,50,32
59750,18,50,32
60000,18,50,32
60250,17,49,32
60500,17,49,32
60750,17,49,32
61000,17,49,32
61250,18,50,32
61500,18,50,32
61750,18,50,32
62000,18,50,32
62250,17,49,32
62500,17,49,32
62750,17,49,32
63000,17,49,32
63250,18,50,32
63500,18,50,32
63750,18,50,32
64000,18,50,32
